"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Code\Tourney\src\App.js", "JavaScript", 75, 0, 0, 45, 120
"c:\Code\Tourney\src\Create.css", "CSS", 0, 84, 1, 13, 98
"c:\Code\Tourney\src\Create.js", "JavaScript", 231, 0, 13, 96, 340
"c:\Code\Tourney\src\CreateDecider.js", "JavaScript", 47, 0, 2, 20, 69
"c:\Code\Tourney\src\Game.css", "CSS", 0, 76, 1, 13, 90
"c:\Code\Tourney\src\Game.js", "JavaScript", 186, 0, 2, 74, 262
"c:\Code\Tourney\src\Host.css", "CSS", 0, 30, 0, 4, 34
"c:\Code\Tourney\src\Host.js", "JavaScript", 76, 0, 3, 44, 123
"c:\Code\Tourney\src\Made.css", "CSS", 0, 6, 0, 1, 7
"c:\Code\Tourney\src\Made.js", "JavaScript", 59, 0, 4, 22, 85
"c:\Code\Tourney\src\Menu.js", "JavaScript", 69, 0, 1, 30, 100
"c:\Code\Tourney\src\PostQ.js", "JavaScript", 20, 0, 0, 6, 26
"c:\Code\Tourney\src\PreHost.css", "CSS", 0, 40, 5, 8, 53
"c:\Code\Tourney\src\PreHost.js", "JavaScript", 123, 0, 3, 56, 182
"c:\Code\Tourney\src\Ranking.js", "JavaScript", 47, 0, 3, 21, 71
"c:\Code\Tourney\src\app.css", "CSS", 0, 132, 1, 19, 152
"c:\Code\Tourney\src\bracket.js", "JavaScript", 47, 0, 3, 33, 83
"c:\Code\Tourney\src\firebase.js", "JavaScript", 14, 0, 7, 7, 28
"c:\Code\Tourney\src\index.js", "JavaScript", 15, 0, 4, 4, 23
"Total", "-", 1009, 368, 53, 516, 1946
